w1,46.0189,1.85098,1.80601,1.15932,0.68131,0.60351,0.61126,0.28151,1.66442,0.84544,1.02533,0.000411392,0.000411392,0.000411392
2,80.9607,1.54321,0.83581,1.0025,0.75349,0.67066,0.69238,0.35189,1.54549,0.76247,0.9958,0.000819861,0.000819861,0.000819861
3,116.419,1.50527,0.77644,0.99458,0.85543,0.66753,0.71889,0.34256,1.58394,0.77622,1.00194,0.00122008,0.00122008,0.00122008
4,151.57,1.43875,0.73794,0.97808,0.75658,0.69373,0.7315,0.3684,1.46244,0.72618,0.96425,0.00121287,0.00121287,0.00121287
5,186.512,1.38488,0.69805,0.9638,0.78761,0.70694,0.74518,0.39006,1.38479,0.67084,0.95095,0.0012005,0.0012005,0.0012005
6,220.59,1.35236,0.68004,0.95594,0.86598,0.70826,0.77142,0.42198,1.35407,0.65172,0.94184,0.00118812,0.00118812,0.00118812
7,255.185,1.33854,0.65916,0.95307,0.82245,0.75681,0.78393,0.42336,1.35702,0.65918,0.93877,0.00117575,0.00117575,0.00117575
8,289.58,1.28157,0.62998,0.93592,0.85142,0.72597,0.7887,0.44096,1.33681,0.63111,0.93282,0.00116337,0.00116337,0.00116337
9,324.327,1.27363,0.63039,0.93564,0.86738,0.74768,0.79664,0.45136,1.27078,0.61731,0.9228,0.001151,0.001151,0.001151
10,358.561,1.24832,0.61714,0.9372,0.87292,0.73172,0.80195,0.44984,1.30269,0.62061,0.93252,0.00113863,0.00113863,0.00113863
11,393.036,1.21088,0.60597,0.92611,0.88389,0.77136,0.8205,0.46697,1.24004,0.58383,0.91582,0.00112625,0.00112625,0.00112625
12,427.405,1.20517,0.594,0.92322,0.89632,0.75398,0.80771,0.45892,1.23382,0.59654,0.91027,0.00111388,0.00111388,0.00111388
13,461.737,1.20516,0.5952,0.92354,0.88177,0.74618,0.82104,0.47704,1.20907,0.5745,0.90647,0.0011015,0.0011015,0.0011015
14,496.383,1.156,0.57192,0.91029,0.89562,0.76994,0.82624,0.48255,1.21154,0.56424,0.90885,0.00108913,0.00108913,0.00108913
15,531.176,1.15629,0.57368,0.91514,0.84409,0.74953,0.81056,0.4799,1.15613,0.55347,0.89784,0.00107675,0.00107675,0.00107675
16,565.81,1.16171,0.5711,0.91368,0.90025,0.76635,0.8287,0.49554,1.16499,0.54903,0.89757,0.00106437,0.00106437,0.00106437
